geometry,address
POINT (-46.6333824 -23.5506507),"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
POINT (-86.1583502 39.7683331),"Indianapolis, Marion, Indiana, United States of America"
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America"
POINT (172.8344077 -41.5000831),New Zealand / Aotearoa
POINT (114.0543297 22.555454),"深圳市, 广东省, China 中国"
POINT (78.6677428 22.3511148),India
POINT (-4.8380649 39.3262345),España
POINT (127.6961188 36.638392),대한민국
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom"
POINT (-114.4755475 51.1851768),"Angles, Grande Boulevard, Glenbow, Cochrane, Town of Cochrane, Alberta, T4C 0W5, Canada"
POINT (77.20900570000001 28.6138954),"New Delhi, Delhi, India"
POINT (72.8353355 18.9387711),"Mumbai, Mumbai City, Maharashtra, India"
POINT (90.4126466 23.810651),"ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1229, Bangladesh"
POINT (-97.1413417 33.1838787),"Denton County, Texas, United States of America"
POINT (-10.797788 6.328034),"Monrovia, Greater Monrovia, Montserrado County, 231, Liberia"
POINT (53.9994829 24.0002488),الإمارات العربية المتحدة
POINT (-93.6037149 41.5910641),"Des Moines, Polk County, Iowa, United States of America"
GEOMETRYCOLLECTION EMPTY,
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (10.77572919405189 59.97239745),"Oslo, Norge"
POINT (4.351697 50.8465573),"Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien"
POINT (-74.00601519999999 40.7127281),"New York, United States of America"
POINT (-87.8318855309532 42.12753095),"Northbrook, Cook County, Illinois, 60062, United States of America"
POINT (-77.0946459 38.9848265),"Bethesda, Montgomery County, Maryland, 22814, United States of America"
POINT (-83.00070650000001 39.9622601),"Columbus, Franklin County, Ohio, United States of America"
POINT (10.4234469 51.0834196),Deutschland
POINT (7.4892974 9.064330500000001),"Abuja, Municipal Area Council, Federal Capital Territory, 900001, Nigeria"
POINT (-99.1331785 19.4326296),"Ciudad de México, México"
POINT (-97.10562379033699 32.701939),"Arlington, Tarrant County, Texas, United States of America"
POINT (5.398661990056466 51.510017),"Best, Noord-Brabant, Nederland"
POINT (77.20900570000001 28.6138954),"New Delhi, Delhi, India"
POINT (114.1849161 22.350627),"香港 Hong Kong, China 中国"
POINT (7.9999721 9.6000359),Nigeria
POINT (28.9651646 41.0096334),"İstanbul, Beyazıt Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye"
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom"
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom"
POINT (-21.9422367 64.14598100000001),"Reykjavíkurborg, Höfuðborgarsvæðið, Ísland"
POINT (-76.2856365 37.0520315),"Hampton, Hampton City, Virginia, United States of America"
POINT (30.5241361 50.4500336),"Київ, Україна"
POINT (-2.5972985 51.4538022),"Bristol, City of Bristol, South West England, England, United Kingdom"
POINT (91.8982857 25.5701975),"Laitumkhrah, Shillong, Mylliem, East Khasi Hills, Meghalaya, 793001, India"
POINT (10.8868478 49.8916044),"Bamberg, Bayern, Deutschland"
POINT (71.247499 30.3308401),پاکستان
POINT (8.536413599999999 11.8948389),"Kano, Nigeria"
POINT (-77.6216354 43.2086502),"Africa, Rochester, New York, 14617, United States of America"
POINT (-77.0365256 -12.0621065),"Lima, Peru"
POINT (-77.61521399999999 43.157285),"Rochester, New York, United States of America"
POINT (-1.2578499 51.7520131),"Oxford, Oxfordshire, South East, England, United Kingdom"
POINT (78.6677428 22.3511148),India
POINT (28.049722 -26.205),"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
POINT (28.049722 -26.205),"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
POINT (18.417396 -33.928992),"Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
POINT (-117.1627714 32.7174209),"San Diego, San Diego County, California, United States of America"
POINT (-71.3187697 -31.7613365),Chile
POINT (-0.3763353 39.4697065),"València, Comarca de València, València / Valencia, Comunitat Valenciana, España"
POINT (144.9631608 -37.8142176),"Melbourne, City of Melbourne, Victoria, 3000, Australia"
POINT (-73.71457460000001 41.0409305),"Purchase, Town of Harrison, Westchester County, New York, 10577, United States of America"
POINT (-73.71457460000001 41.0409305),"Purchase, Town of Harrison, Westchester County, New York, 10577, United States of America"
POINT (-81.345941 41.239223),"Streetsboro, Portage County, Ohio, 44241, United States of America"
POINT (77.1716954 28.6273928),"Delhi, India"
POINT (5.109708 52.0949753),"Utrecht, Nederland"
POINT (37.6174943 55.7504461),"Москва, Центральный административный округ, Москва, Центральный федеральный округ, Россия"
POINT (1.5732033 42.5407167),Andorra
POINT (3.7250121 51.0538286),"Gent, Oost-Vlaanderen, Vlaanderen, België - Belgique - Belgien"
POINT (78.6677428 22.3511148),India
POINT (78.6677428 22.3511148),India
POINT (78.46106473453146 17.38878595),"Hyderabad, Telangana, India"
POINT (-2.7990345 54.0484068),"Lancaster, Lancashire, North West England, England, United Kingdom"
POINT (31.243666 30.048819),"القاهرة, Egypt / مصر"
POINT (82.92345090000001 55.0282171),"Новосибирск, городской округ Новосибирск, Новосибирская область, Сибирский федеральный округ, 630000, Россия"
POINT (15.4749544 49.8167003),Česko
POINT (-81.1308434 8.559559),Panamá
POINT (1.4442469 43.6044622),"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31000, France"
POINT (4.4631786 51.9228934),"Rotterdam, 1207, Weena, CS-Kwartier, Centrum, Rotterdam, Zuid-Holland, Nederland, 3013AL, Nederland"
POINT (78.6677428 22.3511148),India
POINT (-74.00601519999999 40.7127281),"New York, United States of America"
POINT (-93.2654692 44.9772995),"Minneapolis, Hennepin County, Minnesota, United States of America"
POINT (5.5638451 49.5107263),"Allondrelle-la-Malmaison, Briey, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54260, France"
POINT (22.9352716 40.6403167),"Θεσσαλονίκη, Δήμος Θεσσαλονίκης, Περιφερειακή Ενότητα Θεσσαλονίκης, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 54626, Ελλάδα"
POINT (-71.19561109999999 42.5048167),"Burlington, Middlesex County, Massachusetts, United States of America"
POINT (-118.3692894 34.0923014),"West Hollywood, California, United States of America"
POINT (-97.10562379033699 32.701939),"Arlington, Tarrant County, Texas, United States of America"
POINT (-97.1413417 33.1838787),"Denton County, Texas, United States of America"
POINT (-118.7559974 36.7014631),"California, United States of America"
POINT (-81.3790304 28.5421109),"Orlando, Orange County, Florida, United States of America"
POINT (-99.5120986 31.8160381),"Texas, United States of America"
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America"
POINT (-74.00601519999999 40.7127281),"New York, United States of America"
POINT (-40.2920284 -20.3297293),"Vila Velha, Microrregião Vitória, Região Metropolitana da Grande Vitória, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, Brasil"
POINT (-118.2427666 34.0536909),"Los Angeles, Los Angeles County, California, United States of America"
POINT (27.6971358 53.4250605),Беларусь
